season,team_code,overall_winpct,last10_winpct,sos_proxy,conference_proxy,end_elo,league,o_ppp,pace,winpct,selection_prob,pred_selected,team_name
2026,JAX,0.68,0.8,0.4738597702318967,A-SUN,1332,WBB,0.9297716583219542,78.11555555555555,0.6667,0.0,0,Jacksonville Dolphins
2026,CMU,0.6153846153846154,0.6,0.4810941293699914,MAC,1330,WBB,0.9600100393206726,70.83259259259259,0.6296,0.0,0,Central Michigan Chippewas
2026,FIU,0.6153846153846154,0.6,0.501345868945869,C-USA,1315,WBB,0.9081665204561767,74.30518518518518,0.5926,0.0,0,Florida International Golden Panthers
2026,CBU,0.6428571428571429,0.7,0.5013629873969346,UNKNOWN,1312,WBB,0.9368370384896512,80.13285714285713,0.6786,0.0,0,California Baptist Lancers
2026,UCSB,0.7037037037037037,0.5,0.4677510918157902,BIGWEST,1307,WBB,0.9562622661913726,71.33428571428571,0.75,0.0,0,UC Santa Barbara Gauchos
2026,BRAD,0.6551724137931034,0.7,0.4603660547626065,UNKNOWN,1306,WBB,0.9575896767161681,73.39857142857143,0.6786,0.0,0,Bradley Braves
2026,DRKE,0.3333333333333333,0.4,0.5177881970921562,UNKNOWN,1306,WBB,0.9717396555247951,69.44645161290323,0.4194,0.0,0,Drake Bulldogs
2026,LEH,0.52,0.5,0.5125884783493478,PL,1306,WBB,0.96249491341502,68.05230769230769,0.5385,0.0,0,Lehigh Mountain Hawks
2026,TUL,0.4074074074074074,0.4,0.5238755121602586,AMER,1306,WBB,0.8910102598047328,69.06285714285714,0.4286,0.0,0,Tulane Green Wave
2026,ORU,0.48,0.4,0.5233817647659115,UNKNOWN,1305,WBB,0.9784453496266122,73.65,0.5625,0.0,0,Oral Roberts Golden Eagles
2026,RUTG,0.3333333333333333,0.0,0.613648680679332,BIG10,1304,WBB,0.8425299632134805,72.23142857142857,0.3214,0.0,0,Rutgers Scarlet Knights
2026,LAM,0.6785714285714286,0.7,0.4524035382028608,UNKNOWN,1295,WBB,0.9001961259613477,69.81384615384616,0.6923,0.0,0,Lamar Lady Cardinals
2026,MON,0.6428571428571429,0.5,0.47826071042622764,UNKNOWN,1292,WBB,0.9216846037534465,64.24571428571429,0.6786,0.0,0,Monmouth Hawks
2026,SIND,0.6666666666666666,0.5,0.533049535341202,OVC,1292,WBB,0.9626027830487033,72.27428571428571,0.6786,0.0,0,Southern Indiana Screaming Eagles
2026,STET,0.6923076923076923,0.8,0.4827990517358334,UNKNOWN,1288,WBB,0.9986628781547718,68.37714285714286,0.6429,0.0,0,Stetson Hatters
2026,MCN,0.8518518518518519,1.0,0.4739211165774787,SLC,1285,WBB,0.9756551737656076,60.019999999999996,0.8529,0.0,0,McNeese State Cowgirls
2026,CAMP,0.6206896551724138,0.7,0.5022949055477236,UNKNOWN,1283,WBB,0.908598824621095,62.43034482758621,0.6207,0.0,0,Campbell Fightin Camels
2026,GWU,0.4827586206896552,0.4,0.529246201838031,A-10,1282,WBB,0.9165902841429882,62.15393939393939,0.4545,0.0,0,George Washington Revolutionaries
2026,DEP,0.23333333333333334,0.3,0.5557569739753648,BIGEAST,1281,WBB,0.8500980715488361,74.3367741935484,0.2581,0.0,0,DePaul Blue Demons
2026,SMC,0.5,0.4,0.514965165209418,UNKNOWN,1273,WBB,0.8856474203229956,69.97,0.4688,0.0,0,Saint Mary`s Gaels
2026,HPU,0.8518518518518519,0.8,0.42130472284207915,BIGSOUTH,1272,WBB,1.0035408125232947,71.54666666666667,0.8333,0.0,0,High Point Panthers
2026,WSU,0.17857142857142858,0.2,0.6151393675654759,UNKNOWN,1272,WBB,0.8805630981955438,64.90875,0.2188,0.0,0,Washington State Cougars
2026,CHAR,0.42857142857142855,0.4,0.537840356111451,AMER,1269,WBB,0.8845420377330544,69.6916129032258,0.4194,0.0,0,Charlotte 49ers
2026,BC,0.16666666666666666,0.1,0.584174570427444,ACC,1267,WBB,0.8858612488707804,67.80125,0.1562,0.0,0,Boston College Eagles
2026,CCAR,0.4666666666666667,0.5,0.5354390638964769,UNKNOWN,1267,WBB,0.9579240936097976,74.48903225806451,0.4516,0.0,0,Coastal Carolina Chanticleers
2026,CHAT,0.64,0.6,0.47226068589636805,UNKNOWN,1264,WBB,0.9415116583704479,61.072,0.7,0.0,0,Chattanooga Lady Mocs
2026,WYO,0.34615384615384615,0.5,0.5479574867023144,MWC,1264,WBB,0.8375628608679456,66.08,0.3462,0.0,0,Wyoming Cowboys
2026,UME,0.5862068965517241,0.8,0.5339010049987895,UNKNOWN,1263,WBB,0.9309826065452147,69.32000000000001,0.6071,0.0,0,Maine Black Bears
2026,SMU,0.3,0.1,0.5360013379553609,ACC,1262,WBB,0.835951422954675,72.57199999999999,0.3333,0.0,0,SMU Mustangs
2026,DUQ,0.4074074074074074,0.4,0.4988785987958401,A-10,1256,WBB,0.8736414986414985,72.1858064516129,0.4516,0.0,0,Duquesne Dukes
2026,NKU,0.5,0.6,0.5600303893637227,HL,1253,WBB,0.9217735579990242,73.50896551724139,0.4483,0.0,0,Northern Kentucky Norse
2026,PAC,0.38461538461538464,0.3,0.5675872903597041,UNKNOWN,1252,WBB,0.9192534274956313,76.56137931034482,0.3793,0.0,0,Pacific Tigers
2026,SBRK,0.5862068965517241,0.7,0.4697679611870594,UNKNOWN,1250,WBB,0.8858564535585042,66.32000000000001,0.5714,0.0,0,Stony Brook Seawolves
2026,UIC,0.5,0.6,0.46034456443939203,MVC,1247,WBB,0.966783359114223,65.50933333333333,0.4667,0.0,0,Illinois-Chicago Flames
2026,HOU,0.25,0.1,0.6356116956446688,BIG12,1246,WBB,0.8054293347894768,68.36933333333333,0.2667,0.0,0,Houston Cougars
2026,ETSU,0.5714285714285714,0.9,0.46813255366305767,UNKNOWN,1245,WBB,0.8422704957754787,65.46344827586208,0.5862,0.0,0,East Tennessee State Lady Buccaneers
2026,PITT,0.26666666666666666,0.0,0.504475659101105,ACC,1242,WBB,0.8317177555051577,70.54967741935484,0.2581,0.0,0,Pittsburgh Panthers
2026,SAMH,0.6,0.5,0.5429324251738045,UNKNOWN,1242,WBB,0.8609600654855872,73.29857142857144,0.6071,0.0,0,Sam Houston State Bearkats
2026,SOU,0.5833333333333334,0.7,0.4287681379922759,SWAC,1242,WBB,0.8686720621025683,74.51692307692308,0.6154,0.0,0,Southern Lady Jaguars
2026,FRES,0.4642857142857143,0.4,0.4682041561862762,MWC,1240,WBB,0.8537038758248907,74.2,0.4483,0.0,0,Fresno State Bulldogs
2026,ELON,0.5,0.6,0.5187922535815256,UNKNOWN,1228,WBB,0.9127851809068032,69.25428571428571,0.4643,0.0,0,Elon Phoenix
2026,TOW,0.5769230769230769,0.6,0.49554967790829857,UNKNOWN,1227,WBB,0.8996750609260764,72.94814814814815,0.5556,0.0,0,Towson Tigers
2026,SUU,0.68,0.6,0.491979250967257,UNKNOWN,1226,WBB,1.0082321214947587,70.45571428571428,0.7143,0.0,0,Southern Utah Thunderbirds
2026,RMU,0.64,0.5,0.4580311919742205,HL,1222,WBB,0.9204848982946374,67.13103448275862,0.6552,0.0,0,Robert Morris Colonials
2026,ALAM,0.6538461538461539,1.0,0.43532064553803684,SWAC,1217,WBB,0.8806535785288271,68.98285714285714,0.6786,0.0,0,Alabama A&amp;M Bulldogs
2026,ULM,0.46153846153846156,0.5,0.5270296039774948,UNKNOWN,1215,WBB,0.9181447405861709,78.09629629629629,0.5185,0.0,0,Louisiana-Monroe Warhawks
2026,NJIT,0.5925925925925926,0.5,0.5071583315790212,UNKNOWN,1213,WBB,0.9856358516177394,68.08137931034483,0.6897,0.0,0,NJIT Highlanders
2026,OHIO,0.5555555555555556,0.3,0.4930101025044124,MAC,1213,WBB,0.9299555842109033,82.72,0.5185,0.0,0,Ohio Bobcats
2026,LOYO,0.4230769230769231,0.5,0.541663781497999,UNKNOWN,1211,WBB,0.8313937433429326,69.92827586206897,0.4483,0.0,0,Loyola Chicago Ramblers
2026,WOFF,0.5925925925925926,0.8,0.49031348387670226,UNKNOWN,1206,WBB,0.9498152709359606,69.6,0.5714,0.0,0,Wofford Terriers
2026,XU,0.4074074074074074,0.1,0.5312237925264746,BIGEAST,1204,WBB,0.8473601472336183,71.94758620689655,0.3793,0.0,0,Xavier Musketeers
2026,ALB,0.4827586206896552,0.3,0.506476952657324,UNKNOWN,1195,WBB,0.9454132424667602,64.14428571428572,0.5,0.0,0,Albany Great Danes
2026,MERR,0.5833333333333334,0.7,0.45195865092351634,MAAC,1195,WBB,0.9273479564918874,76.3393103448276,0.6552,0.0,0,Merrimack Warriors
2026,STMN,0.6,0.8,0.45990640904434005,UNKNOWN,1194,WBB,0.9562327564584902,63.792,0.5333,0.0,0,Saint Thomas (Minn.) Tommies
2026,NCAT,0.4230769230769231,0.4,0.5630372245889487,UNKNOWN,1191,WBB,0.8649364406779662,72.61538461538461,0.3846,0.0,0,North Carolina A&amp;T Aggies
2026,APSU,0.5714285714285714,0.3,0.5014874137553182,UNKNOWN,1188,WBB,1.0074838417054088,65.32592592592593,0.5926,0.0,0,Austin Peay Governors
2026,SOMS,0.5,0.3,0.5010538205017113,UNKNOWN,1188,WBB,0.9978546830011856,73.2951724137931,0.5172,0.0,0,Southern Mississippi Lady Eagles
2026,CWM,0.5185185185185185,0.5,0.5001952439667422,UNKNOWN,1183,WBB,0.8742869679684072,70.12307692307692,0.5385,0.0,0,William &amp; Mary Tribe
2026,TTU,0.5769230769230769,0.5,0.48278901122291923,OVC,1182,WBB,0.9390979415235348,70.40307692307692,0.5385,0.0,0,Tennessee Tech Golden Eagles
2026,SLU,0.36666666666666664,0.1,0.5479077952918618,A-10,1181,WBB,0.8494816045497388,80.77032258064517,0.3226,0.0,0,Saint Louis Billikens
2026,WKU,0.2692307692307692,0.2,0.5267008518939553,C-USA,1181,WBB,0.854044037497275,67.95555555555555,0.2963,0.0,0,Western Kentucky Lady Toppers
2026,AFA,0.4642857142857143,0.5,0.48793094091944667,MWC,1180,WBB,0.8356426998709285,75.26285714285714,0.4286,0.0,0,Air Force Falcons
2026,FAU,0.44,0.5,0.4917458036854589,AMER,1177,WBB,0.8557701455617924,75.07857142857142,0.4286,0.0,0,Florida Atlantic Owls
2026,MEM,0.32142857142857145,0.2,0.5197264780534256,AMER,1177,WBB,0.8233828708873808,75.1032258064516,0.3226,0.0,0,Memphis Tigers
2026,JXST,0.5,0.4,0.50080814000814,C-USA,1166,WBB,0.9334483045212767,62.100645161290316,0.5161,0.0,0,Jacksonville State Gamecocks
2026,UVU,0.5,0.4,0.5183945187468426,UNKNOWN,1165,WBB,0.8665983561882753,73.3904,0.52,0.0,0,Utah Valley Wolverines
2026,BRY,0.6206896551724138,0.4,0.4314819137439827,UNKNOWN,1164,WBB,0.9332083005626475,66.116,0.6333,0.0,0,Bryant Bulldogs
2026,BONA,0.5333333333333333,0.4,0.47819917564269526,A-10,1163,WBB,0.9022556390977443,70.04666666666667,0.6,0.0,0,Saint Bonaventure Bonnies
2026,NAL,0.5357142857142857,0.6,0.5117866319258892,A-SUN,1156,WBB,0.8794305913824401,72.18620689655172,0.5862,0.0,0,North Alabama Lions
2026,UAB,0.37037037037037035,0.3,0.5144849393655759,AMER,1156,WBB,0.9378698224852071,67.6,0.3333,0.0,0,UAB Blazers
2026,NAU,0.3333333333333333,0.3,0.5486127136675862,BIGSKY,1155,WBB,0.9170734392777186,77.84857142857143,0.3571,0.0,0,Northern Arizona Lumberjacks
2026,EWU,0.44,0.4,0.5158162525338615,BIGSKY,1152,WBB,0.932922191726464,80.64266666666667,0.5333,0.0,0,Eastern Washington Eagles
2026,VCU,0.27586206896551724,0.2,0.5860153960629585,A-10,1152,WBB,0.8016177839851024,68.736,0.2667,0.0,0,Virginia Commonwealth Rams
2026,BING,0.6296296296296297,0.6,0.5024474646681543,UNKNOWN,1151,WBB,0.9692224622030238,63.86206896551724,0.6552,0.0,0,Binghamton Bearcats
2026,TRGV,0.5862068965517241,0.7,0.5221490566162674,SLC,1143,WBB,0.9296798546064589,69.06344827586207,0.5862,0.0,0,Texas-Rio Grande Valley Vaqueros
2026,SAC,0.4642857142857143,0.4,0.4749578479286702,BIGSKY,1141,WBB,0.8950151057401813,73.04827586206896,0.4138,0.0,0,Sacramento State Hornets
2026,MORE,0.5517241379310345,0.6,0.49708845341850266,OVC,1138,WBB,0.9179124049305011,68.88,0.5806,0.0,0,Morehead State Eagles
