round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed,slot_a,slot_b,team_a_elo,team_b_elo
Round of 32,12,Oklahoma Sooners,24,Kentucky Wildcats,0.6205558268879158,Oklahoma Sooners,12,20,21,2065.0,1914.0
Round of 32,14,Vanderbilt Commodores,23,Minnesota Golden Gophers,0.7553879384953918,Vanderbilt Commodores,14,22,23,2047.0,1926.0
Round of 32,15,Southern California Trojans,22,Michigan State Spartans,0.1735176624931534,Michigan State Spartans,22,24,25,2043.0,1928.0
Round of 32,16,North Carolina State Wolfpack,21,Mississippi Rebels,0.5585704936530408,North Carolina State Wolfpack,16,26,27,2006.0,1932.0
Round of 32,17,Maryland Terrapins,20,Baylor Lady Bears,0.5621787355790143,Maryland Terrapins,17,28,29,1989.0,1978.0
Round of 32,18,Notre Dame Fightin` Irish,19,West Virginia Mountaineers,0.35867747567574854,West Virginia Mountaineers,19,30,31,1982.0,1980.0
Sweet 16,1,Connecticut Huskies,22,Michigan State Spartans,0.8688993136035131,Connecticut Huskies,1,0,1,2506.0,1928.0
Sweet 16,2,South Carolina Gamecocks,19,West Virginia Mountaineers,0.8625494860613449,South Carolina Gamecocks,2,2,3,2435.0,1980.0
Sweet 16,3,UCLA Bruins,17,Maryland Terrapins,0.8749130655028533,UCLA Bruins,3,4,5,2348.0,1989.0
Sweet 16,4,Texas Longhorns,16,North Carolina State Wolfpack,0.8750061593793297,Texas Longhorns,4,6,7,2305.0,2006.0
Sweet 16,5,LSU Tigers,14,Vanderbilt Commodores,0.5210169974699507,LSU Tigers,5,8,9,2209.0,2047.0
Sweet 16,6,Iowa Hawkeyes,12,Oklahoma Sooners,0.6540681718480796,Iowa Hawkeyes,6,10,11,2118.0,2065.0
Sweet 16,8,Louisville Cardinals,11,Ohio State Buckeyes,0.5898859669337452,Louisville Cardinals,8,12,13,2091.0,2081.0
Sweet 16,9,TCU Lady Frogs,10,Michigan Wolverines,0.5326879863258469,TCU Lady Frogs,9,14,15,2084.0,2081.0
Elite 8,1,Connecticut Huskies,9,TCU Lady Frogs,0.833401022504045,Connecticut Huskies,1,0,1,2506.0,2084.0
Elite 8,2,South Carolina Gamecocks,8,Louisville Cardinals,0.7799158686398645,South Carolina Gamecocks,2,2,3,2435.0,2091.0
Elite 8,3,UCLA Bruins,6,Iowa Hawkeyes,0.8218289290315693,UCLA Bruins,3,4,5,2348.0,2118.0
Elite 8,4,Texas Longhorns,5,LSU Tigers,0.5758408037971284,Texas Longhorns,4,6,7,2305.0,2209.0
Final 4,1,Connecticut Huskies,4,Texas Longhorns,0.7070616598195777,Connecticut Huskies,1,0,1,2506.0,2305.0
Final 4,2,South Carolina Gamecocks,3,UCLA Bruins,0.4779363482096719,UCLA Bruins,3,2,3,2435.0,2348.0
Championship,1,Connecticut Huskies,3,UCLA Bruins,0.56796898736138,Connecticut Huskies,1,0,1,2506.0,2348.0
