round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed,slot_a,slot_b,team_a_elo,team_b_elo
Sweet 16,6,Connecticut Huskies,26,Virginia Cavaliers,0.601932217435723,Connecticut Huskies,6,6,7,2044.0,1780.0
Sweet 16,8,Alabama Crimson Tide,25,BYU Cougars,0.6548046556107054,Alabama Crimson Tide,8,8,9,1966.0,1781.0
Sweet 16,9,Michigan State Spartans,24,Vanderbilt Commodores,0.5734035447638396,Michigan State Spartans,9,10,11,1947.0,1792.0
Sweet 16,10,Gonzaga Bulldogs,15,Iowa State Cyclones,0.5416166765553402,Gonzaga Bulldogs,10,12,13,1934.0,1874.0
Sweet 16,12,Texas Tech Red Raiders,14,Illinois Fighting Illini,0.3888337005436922,Illinois Fighting Illini,14,14,15,1919.0,1899.0
Elite 8,4,Houston Cougars,62,Miami (Ohio) Redhawks,0.24262200998038908,Miami (Ohio) Redhawks,62,0,1,2058.0,1587.0
Elite 8,5,Arizona Wildcats,14,Illinois Fighting Illini,0.7294966302463743,Arizona Wildcats,5,2,3,2056.0,1899.0
Elite 8,6,Connecticut Huskies,10,Gonzaga Bulldogs,0.3892042369319329,Gonzaga Bulldogs,10,4,5,2044.0,1934.0
Elite 8,8,Alabama Crimson Tide,9,Michigan State Spartans,0.3569619782777602,Michigan State Spartans,9,6,7,1966.0,1947.0
Final 4,5,Arizona Wildcats,62,Miami (Ohio) Redhawks,0.43232467743713227,Miami (Ohio) Redhawks,62,0,1,2056.0,1587.0
Final 4,9,Michigan State Spartans,10,Gonzaga Bulldogs,0.2382358457046565,Gonzaga Bulldogs,10,2,3,1947.0,1934.0
Championship,10,Gonzaga Bulldogs,62,Miami (Ohio) Redhawks,0.4009012519514707,Miami (Ohio) Redhawks,62,0,1,1934.0,1587.0
